vpsu,vstrat,chngtme,mar1,mar2,mar3,mar4,mar5,mar6,mar7,mar8,mar9,mar11,mar12,abany,abdefect,abhlth,abnomore,abpoor,abrape,absingle,acqntsex,adults,advfront,affrmact,age,aged,agekdbrn,astrolgy,astrosci,attend,away1,away11,away2,away3,away4,away5,away6,away7,babies,backpain,balneg,balpos,betrlang,bible,bigbang,bizbstgw,bizbstnk,bizbsttx,bizinfgw,bizinfnk,bizinftx,biznuke,blkwhite,born,boyorgrl,busdecid,busgrn,cappun,caremost,carsgen,chemfree,chemgen,childs,chldidel,class,cloning,closeblk,closewht,cohort,colath,colcom,coldeg1,colhomo,colmil,colmslm,colrac,colsci,colscinm,comorsci,comprend,compuse,conarmy,conbus,conclerg,condemnd,condom,condrift,coneduc,confed,confinan,coninc,conjudge,conlabor,conlegis,conmedic,conpress,conrinc,consci,consent,contv,coop,courts,cowrkhlp,cowrkint,crack30,cshutyp06,cshutyp08,dateintv,degree,denom,denom16,discaff,discaffm,discaffw,divlaw,divorce,drivless,dwelling,dwelown,earnrs,earthsun,ecoagree,ecobsttx,ecoinftx,econgrn,educ,electron,emailhr,emailmin,engagrnk,engbstnk,engnuke,enhinfnk,enprbfam,enprbus,eqwlth,eth1,eth2,eth3,ethnic,ethnum,evcrack,evidu,evolved,evpaidsx,evstray,evwork,expdesgn,exptext,extinct,fair,fair5,fairearn,famdif16,famgen,family16,famvswk,famwkoff,fear,fechld,feelevel,feeused,fefam,fehire,fejobaff,fepol,fepres,fepresch,finalter,finrela,form,formwt,fringeok,frndsex,fucitzn,fund,fund16,futenrgy,gender1,gender10,gender11,gender12,gender2,gender3,gender4,gender5,gender6,gender7,gender8,gender9,genegen,getahead,god,goodlife,govdook,goveqinc,granborn,grass,grncon,grndemo,grnecon,grneffme,grnexagg,grngroup,grnintl,grnmoney,grnprice,grnprog,grnsign,grnsol,grntaxes,grwtharm,grwthelp,gunlaw,gwbiz,gwpol,gwsci,h2oless,handmove,hapmar,happy,harmgood,harmsgrn,haveinfo,health,health1,hefinfo,helpblk,helpful,helpharm,helpnot,helpoth,helppoor,helpsick,hhrace,hhtype,hhtype1,hispanic,hivtest,hivtest1,hivtest2,hlpequip,hlthdays,homosex,hompop,hotcore,hrs1,hrs2,hrsrelax,hsbio,hschem,hsmath,hsphys,hunt,huntbear,hurtatwk,hvylift,icecaps,icesheet,id,idu30,if04who,if08who,ihlpgrn,impgrn,incom16,income,income06,indus07,indus80,indusgen,intage,intecon,inteduc,intenvir,intethn,intfarm,inthisp,intintl,intlblks,intlwhts,intmed,intmil,intrace1,intrace2,intrace3,intrhome,intsci,intsex,intspace,inttech,intyrs,inuit,inuitway,isco681,isco88,issp,jew,jew16,jobfind,jobfind1,joblose,jobsecok,kidssol,knowsol,knowwhat,knwcause,knwpolar,laidoff,lasers,ldcgrn,learnnew,letdie1,letin1,libath,libcom,libhomo,libmil,libmslm,librac,life,liveblks,livewhts,lngthinv,localnum,madeg,maeduc,maind80,maisc681,maisco88,majorcol,manvsemp,maocc80,mapres80,marasian,marblk,marhisp,marhomo,marital,marwht,masei,matesex,mawrkgrw,mawrkslf,medagrsc,medbstsc,medinfsc,meovrwrk,mntlhlth,mobile16,mode,moredays,morempg,mustwork,myskills,nanoben,nanoharm,nanoknw1,nanoknw2,nanotech,nanowill,nataid,nataidy,natarms,natarmsy,natchld,natcity,natcityy,natcrime,natcrimy,natdrug,natdrugy,nateduc,nateducy,natenrgy,natenvir,natenviy,natfare,natfarey,natheal,nathealy,natmass,natpark,natrace,natracey,natroad,natsci,natsoc,natspac,natspacy,news,newsfrmy,newsfrom,nextgen,nobuygrn,noicecap,nosun,nukeelec,nukegen,numemps,nummen,numorg,numwomen,obey,occ80,occonet,odds1,odds2,old1,old10,old11,old12,old13,old14,old2,old3,old4,old5,old6,old7,old8,old9,opdevel,oth16,other,othersex,othlang,othlang1,othlang2,othssame,oversamp,overwork,owngun,ownstock,padeg,paeduc,paidsex,painarms,paind80,paisc681,paisco88,paocc80,papres80,parborn,parsol,partfull,partners,partnrs5,partteam,partyid,pasei,pawrkslf,penguins,peopgrn,permoral,phone,phyeffrt,physhlth,pikupsex,pillok,pistol,polabuse,polaryr1,polaryr2,polaryr3,polaryr4,polaryr5,polaryr6,polaryr7,polaryr8,polattak,polbstgw,polbstnk,polbstsc,polbsttx,polescap,polgreed,polhitok,polinfgw,polinfnk,polinfsc,polinftx,polmurdr,polnuke,polviews,popespks,popgrwth,popular,pornlaw,postlife,postmat1,postmat2,pray,prayer,premarsx,pres04,pres08,prestg80,preteen,privent,prodctiv,promtefr,promteok,proudemp,pubdecid,punsin,racdif1,racdif2,racdif3,racdif4,race,racecen1,racecen2,racecen3,raclive,racopen,racpres,racwork,radioact,rank,realinc,realrinc,reborn,recycle,redcehme,reg16,region,relactiv,relate1,relate10,relate11,relate12,relate2,relate3,relate4,relate5,relate6,relate7,relate8,relate9,relatsex,relbstsc,relexp,relexper,relhh1,relhh10,relhh11,relhh12,relhh2,relhh3,relhh4,relhh5,relhh6,relhh7,relhh8,relhh9,relhhd1,relhhd10,relhhd11,relhhd12,relhhd2,relhhd3,relhhd4,relhhd5,relhhd6,relhhd7,relhhd8,relhhd9,relig,relig16,relinfsc,reliten,rellife,relneg,relpersn,relsp1,relsp10,relsp11,relsp12,relsp2,relsp3,relsp4,relsp5,relsp6,relsp7,relsp8,relsp9,res16,res2006,respect,respnum,richwork,rifle,rincblls,rincom06,rincome,rotapple,rowngun,rplace,rvisitor,safefrst,safehlth,safetywk,sampcode,sample,satfin,satjob,satjob1,savesoul,sciagrgw,scibnfts,scibstgw,scifaith,scifrom,scifromy,scigrn,sciinfgo,sciinfgw,scinews1,scinews2,scinews3,scistudy,scitext,scmed,scpol,screlig,scresrch,sealevel,secondwk,seeksci,seeksciy,sei,sex,sexeduc,sexfreq,sexornt,sexsex,sexsex5,shotgun,sibs,size,slpprblm,socbar,socfrend,socommun,socrel,solarrev,spaneng,spanking,spanself,spdeg,spden,speduc,spevwork,spfund,sphrs1,sphrs2,spind80,spisc681,spisco88,spjew,spkath,spkcom,spkhomo,spklang,spkmil,spkmslm,spkrac,spocc80,spother,sppres80,sprel,sprtprsn,spsei,spvtrfair,spwrkslf,spwrksta,srcbelt,stockops,stress,strredpg,suicide1,suicide2,suicide3,suicide4,supcares,supervis,suphelp,tax,teamsafe,teens,teensex,tempgen1,thnkself,tomatoes,toodifme,toofast,toofewwk,topprob1,topprob2,trdunion,trust,trust5,trustman,trynewjb,tvhours,txbiz,txeco,txpol,unemp,union,unrelat,uscitzn,usdoenuf,usedup,usewww,uswar,uswary,version,vetyears,viruses,visitors,vote04,vote08,watergen,waypaid,webmob,weekswrk,where1,where11,where2,where3,where4,where5,where6,where7,whoelse1,whoelse2,whoelse3,whoelse4,whoelse5,whoelse6,widowed,wkageism,wkdecide,wkfreedm,wkharoth,wkharsex,wkpraise,wkracism,wksexism,wksmooth,wksub,wksubs,wksup,wksups,wkvsfam,wlthblks,wlthwhts,worda,wordb,wordc,wordd,worde,wordf,wordg,wordh,wordi,wordj,wordsum,workblks,workdiff,workfast,workfor,workhard,workwhts,wrkgovt,wrkhome,wrksched,wrkslf,wrkstat,wrktime,wrktype,wrkwayup,wtss,wtssall,wtssnr,wwwhr,wwwmin,xmarsex,xmovie,xnorcsiz,year,yearsjob,zodiac
1,2240,2,5,,,,,,,,,,,,,,,,,,2,1,,4,31,1,,,,2,,,,,,,,,0,2,,,1,2,,,,,,,,,1,2,,,,,,,4,,0,,3,,,,1979,,,,,,,,,,,1,1,2,2,1,,1,,2,1,2,66247.5,2,,2,2,2,66247.5,2,1,2,3,3,1,1,,1,1,731,3,,,,,,1,,4,8,1,1,,,,,,16,,28,0,,,,,,9,3,38,.u,.u,38,1,2,2,,1,3,,,,,3,3,3,,1,1,2,3,,2,75,1,,2,,2,1,2,1,3,2,1,1,2,,2,2,7,1,,,,,,,,,,,,.c,,6,2,3,4,4,,3,2,2,3,3,2,.c,2,2,3,2,2,2,1,3,,,,,4,2,,2,4,,1,,3,1,1,2,3,3,4,2,1,5,1,4,15,1,200902,1,1,2,,1,,55,,2,,,,,,,0,2,,,1,,,1,3,3,2,12,21,523920,710,,50,,,,2,,1,,,,,,2,,,,,2,,,.5232876712328767,,,1100,2411,1,,,3,3,2,,1,2,2,3,,2,,.c,2,,3,,,,,,,,4,1,111,5,0,3,151,8493,8290,,2,785,35,3,3,3,,5,3,26.7,1,1,2,,,,2,3,1,1,12,,1,2,,,,,,,,3,,3,1,,2,,1,,2,,1,1,,1,,1,,1,2,1,,1,1,2,2,,3,2,,,,4,,,,,,0,9991,20,2,23,132011.01,,,31,,,,,,,,,,,,,,1,,,2,1,2,,3,1,2,,2,0,8,2,2,641,5319,5122,436,31,8,4,1,4,6,2,1,27.5,2,,,2,6,5,1,1,1,,2,,,,,,,,,2,,,,,2,2,1,,,,,2,,3,2,2,5,2,1,1,3,3,,4,1,,65,0,2,3,1,2,2,,2,1,2,1,2,3,16,,,1,,1,,,,42735,42735,2,4,4,2,2,1,1,,,,,,,,,,,,2,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,2,2,,1,1,2,2,,,,,,,,,,,,,6,1,2,1,,,1,21,12,2,,1,1,2,2,2,501,9,2,2,2,1,,,,2,,,2,,,,,,,,,,,,,2,,,76.40000000000001,1,1,2,3,3,3,,2,8008,3,3,3,7,3,,1,4,,,,,,,,,,,,,,,,2,,,,,,,,2,,1,,,1,,2,2,,2,2,2,1,2,1,,2,0,3,,1,,,,2,6,8,2,2,1,2,2,1,,,,1,4,,1,,2,,2,,2,0,,0,1,2,,1,,52,,,,,,,,,2,2,2,2,2,1,,2,2,1,2,2,3,2,2,2,1,3,2,,2,4,3,1,1,,0,1,1,0,0,1,1,6,4,2,2,1,3,3,2,3,1,2,1,1,5,4,.8420503348907905,.8420503348907905,.8706116873214777,3,0,,1,1,2010,3,5
1,2240,2,5,,,,,,,,,,,,,,,,,,1,1,,1,23,3,,,,0,,,,,,,,,0,2,,,,,,,,,,,,,1,1,,2,,2,,1,3,1,0,2,2,,,,1987,,,,,,,,,,,1,1,3,3,2,4,1,,2,2,3,13048.75,2,2,3,3,3,6022.5,2,1,,1,1,2,1,,1,1,514,3,,,,4,,3,,1,8,2,1,,,,,1,16,,4,0,,,,,1,9,2,7,.u,.u,7,1,2,2,,2,3,,,,,2,5,1,2,1,0,2,3,,2,40,1,4,,2,2,1,3,3,4,1,1,2,1,,3,3,5,2,,,,,,,,,,,,.c,,1,2,4,2,0,1,4,1,4,2,5,2,1,1,2,5,1,2,2,4,4,,,,,4,2,,3,4,2,3,,3,1,1,2,4,3,2,2,1,1,1,4,1,1,201003,3,3,8,,1,,45,,4,,,,,,,0,2,,,2,,1,,4,4,3,10,11,,842,1,50,,,,2,,1,,4,4,,,2,,,,,2,,,.5232876712328767,,,2190,1229,1,,,3,3,1,4,3,4,4,5,,2,,4,1,1,2,,,,,,,,1,3,78,2,0,6,,,,,4,,,3,3,3,,5,3,,1,1,2,,,,3,6,3,1,6,,1,2,,,,,,,2,,3,,1,2,,1,,1,,1,,1,1,,2,,1,,1,2,1,,2,2,2,1,,2,,,,3,,,,2,,5,9983,0,4,14,.a,,,22,,,,,,,,,,,,,,2,,,2,2,,,3,1,1,,,4,18,2,2,891,240,2145,57,64,0,3,1,3,5,2,1,86,2,,,3,6,5,3,2,1,,2,,,,,,,,,1,,,,,2,4,2,,,,,2,,2,,2,5,2,2,,,6,1,4,,1,64,0,5,3,3,4,2,2,3,1,2,1,2,1,1,,,1,,1,,,,8417.5,3885,2,3,2,9,2,1,1,,,,,,,,,,,,1,,2,2,1,,,,,,,,,,,,1,,,,,,,,,,,,4,4,,4,,2,4,,,,,,,,,,,,,5,1,3,1,,,2,7,7,4,,1,1,2,2,2,501,9,2,3,3,2,,,,3,,,2,,,,,,,,,,,,,1,,,85.09999999999999,2,1,4,3,1,1,,3,8008,1,2,1,4,5,,1,3,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,1,,2,2,1,1,1,1,3,1,2,,2,0,4,1,1,,5,,1,,,2,1,,3,1,0,,,,1,4,,,3,3,,1,,2,0,,0,3,1,2,1,,16,,,,,,,,,2,2,2,2,2,1,,1,3,2,2,2,3,2,2,4,1,3,1,4,2,6,3,1,1,1,1,1,1,0,1,1,1,9,4,1,1,3,3,4,1,4,1,2,1,4,5,5,.4631276841899348,.4631276841899348,.4788364280268127,20,,,1,1,2010,.75,9
2,2240,,4,,,,,,,,,,,2,1,,2,2,1,2,,1,,4,71,,21,,,4,,,,,,,,,0,,,,1,1,,,,,,,,,,2,,,,,,2,3,,3,3,1,,9,1,1939,5,4,,4,,5,5,,,,3,2,,,,,,,,,,17063.75,,,,,,,,1,,1,2,,,,1,1,518,0,,,1,4,,2,,5,8,1,0,,,,,,8,,,,,,,,1,1,,38,.u,.u,38,1,,,,,,1,,,,,3,,1,1,5,,,2,3,40,1,2,,1,2,1,2,3,2,1,1,,,,2,2,7,2,,,,,,,,,,,,.c,1,6,,3,1,4,,,2,,2,4,2,.c,2,,2,2,,,,,1,,,,3,,,3,,,,3,,1,,,4,,,,,5,1,4,11,,,,,,1,1,,,,,,,,,4,,,,,,3,,,,4,4,3,11,13,485410,401,2,50,,,,2,,1,,,,,,2,,,,,2,,,.5232876712328767,,,9851,8323,1,,,,,,,,1,,1,,,,.c,,2,4,,1,2,,1,1,,3,3,75,,0,6,,,,,,,,4,3,1,5,3,3,,,2,,,,,3,,3,1,,,,,,,,,,,,,2,,1,2,,3,,1,,1,,,1,,1,,2,,2,1,1,,2,,1,3,,2,,,,4,,,,,,,,,,808,533022,,,70,,,,,,,,,,,,,,,,,,1,2,,4,1,,2,,,,,,,,,,,8,,,,,,0,,,,,,6,,,,2,2,,,,,,,,,,,,,,,,4,,,,,,,,,1,3,,,1,2,1,2,1,1,1,1,32,0,,,,,,,2,1,2,1,1,2,2,,,1,2,1,,,6,11007.5,,2,3,3,0,2,7,1,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,1,,,,,,,,,,,,2,2,,1,1,2,2,,,,,,,,,,,,,1,1,,1,,2,,,,,,1,1,,,,501,9,3,,,1,,,,,,,,,,,,,,,,,,,,,,,29.8,2,1,,,,,2,5,8008,,7,3,6,2,,1,1,,,,,,,,,,,,,1,2,2,1,,2,2,,,,,3,,,,,1,,,,2,2,2,2,,,,1,,0,1,,,,4,,,1,6,,,3,,,5,,,,,,,1,,,2,,1,1,0,,0,1,1,,,2,0,,,,,,,,,2,2,2,2,2,1,2,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,4,,,,,3,2,,,2,5,,,,.4631276841899348,.4631276841899348,.4788364280268127,,,1,,1,2010,,8
2,2240,,2,,,,,,,,,,,,,,,,,,,1,,4,82,1,19,,,4,,,,,,,,,0,,,,,1,,,,,,,,,3,2,,2,3,2,,2,1,2,5,,2,,,,1928,,,,,,,,,,,2,2,1,2,1,,,,1,1,1,7227,1,1,2,1,1,,1,1,2,2,2,,,,1,1,423,0,,,,,2,2,2,5,8,2,1,,,,,2,10,,,,,,,,3,3,7,22,.u,.u,22,1,2,2,,,,2,,,,1,5,,,1,1,,,,3,20,1,3,1,,2,1,2,2,3,2,1,,,,2,2,4,2,,,,,,,,,,,,2,,3,1,2,2,4,2,3,2,2,5,5,2,4,2,,2,2,5,5,2,2,,,,,2,,,3,3,2,,,,1,3,2,4,4,1,3,3,5,1,4,3,2,,,,,,1,,,,,,,,,,,,,,,4,,1,,5,4,2,8,8,,,5,46,,,,3,,15,,4,7,,,1,,,,,2,,,.5232876712328767,,,,,1,,,,,,,1,1,,1,,,,3,,2,3,,,,,,,,3,3,70,,0,0,,,,,,,,3,3,3,,2,3,,,2,,,,,1,,3,1,,,,,,,,,,,,2,,2,2,,2,,2,,2,,2,2,,3,,1,,2,3,2,,2,2,2,1,,1,3,,,,3,,,,5,,0,,0,3,,.a,,,79,,,,,,,,,,,,,,,,,,2,,,3,1,,,,0,2,,,11,6210,9211,479,23,0,1,,,,,6,26.5,2,,1,2,3,,,,1,,2,,,,,,,,,2,,,,,2,2,2,,,,,1,,2,3,4,4,2,2,4,1,2,2,3,,1,,0,2,,,,,2,1,1,2,1,2,1,1,2,,1,,1,,,2,4662,,2,2,3,0,2,4,1,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,1,,,,,,,,,,,,2,2,,1,2,2,2,,,,,,,,,,,,,4,1,,1,,,,,,1,,1,1,,,,501,9,1,,,2,,,,,,,2,,,,,,,,,,,,,,,,,2,2,,,,,,10,8008,,7,7,7,4,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,2,2,2,2,,,,,,0,1,2,5,,5,,,2,4,,2,1,,,3,,,,2,4,,1,2,,2,2,,2,0,,0,2,1,2,,2,0,,,,,,,,,2,2,2,2,2,1,,,,,,,,,,,,,,,,7,6,0,0,0,0,0,1,1,1,0,0,3,7,,,,2,2,,,,,5,,,2,.4631276841899348,.4631276841899348,.4788364280268127,,,,2,1,2010,,1
1,2241,,1,1,,,,,,,,,,,,2,2,2,2,2,,2,2,,78,1,22,2,3,6,,,,,,,,,0,,,,,1,,,,,,,,,1,2,,,,2,,,,,8,,3,,9,5,1932,5,5,,4,4,5,5,2,,,1,,,1,,,,1,,1,,,,,,1,,,,1,2,1,2,,,,1,1,324,0,60,60,1,,,,2,,3,,2,2,,,,,0,,,,,,,,,,1,39,.u,.u,39,1,,,,,,1,2,3,,2,,,,1,1,,,2,,40,1,,,,,,,3,3,1,1,,,,1,1,,1,,,,2,,,,,,,,,1,1,2,,,4,2,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,4,,1,,2,,3,1,1,1,2,3,1,1,,,,,,1,2,1,,,,,,,,4,,,,,,5,,2,1,,,.a,.a,.a,238140,60,,58,2,2,1,3,1,11,2,,,1,1,,,,2,,1,3,2,1,,,9510,7122,2,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,3,,,152,,,,,,,,,,,,,,5,1,,,,2,,,,,,,3,1,,,,,,,,,4,,,,2,,2,2,,2,,,,2,,,2,,,,2,,2,2,2,,1,,2,2,,,,5,,,,,,,,,,,2,563,472051,1,2,75,,,,,,73,,,,,,,,,76,35,,2,,,,1,,2,,,,,,10,6110,6133,473,40,8,1,,,,,3,37.3,1,,,2,3,,,,,2,2,,,,,,,,,2,,,,,2,,2,,,,,2,,3,,,5,1,2,,,2,,,,,36,0,,,,,,,1,,,,,2,2,,,1,2,,,1,1,,,1,,,0,2,5,1,,,,2,,,,,,,,,,1,1,1,,,,2,,,,,,,,1,,,,2,,,,,,,,1,1,,1,1,2,,2,,,,1,,,,,,,,1,,,1,,2,,,,1,,1,1,,,,501,9,3,,,1,,,,,,,,,,,,,3,,,,,,,,4,,29.4,2,,,,,,2,6,8008,,,,,,,1,,,0,60,0,1,1,,,60,9510,7122,,2,1,1,,1,1,2,563,36,36,1,2,29.4,,2,8,1,,,,,,,,,,,2,,0,,,4,,,,,,,,2,,,,,,,,2,4,0,1,,,,,,3,0,1,0,2,2,,,,0,,,,,,,,,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,2,5,,,,.9262553683798697,.9262553683798697,.9576728560536254,,,1,2,1,2010,,9
1,2241,,5,,,,,,,,,,,,,,,,,,,1,,2,40,3,24,,,0,,,,,,,,,0,,,,,2,,,,,,,,,3,2,,,,2,,2,3,2,2,2,2,,,,1970,,,,,,,,,,,3,2,2,2,2,,,,2,2,2,9033.75,2,2,2,2,2,9033.75,2,2,2,3,2,,,,1,1,613,0,,,,2,,1,,3,7,2,1,,,,,,6,,,,,,,,,,4,29,.u,.u,29,1,,,,,,,,,,2,,,,1,1,,,,2,75,1,2,,3,,1,2,2,3,1,1,,,,3,3,6,1,,,,,,,,,,,,4,,,3,.c,.c,4,1,,2,,,.c,2,.c,2,,,2,,,,,,,,,3,,,2,,,,,,1,3,2,,3,5,3,3,2,1,4,1,,,,,,,1,,,,,,,,,,,,,,,6,,,,,,1,9,9,,760,2,50,,,,2,,1,,4,4,,,2,,,,,2,,,.5232876712328767,,,8720,7212,1,,,,,,,2,,,,,,,.c,,2,1,,,,,,,,3,3,32,,0,8,,,,,,,,3,3,3,,5,3,,,2,,,,,2,,3,1,,,,,,,,,,,1,,1,,1,1,,1,,1,,1,,1,1,,1,,1,,1,1,1,,1,1,1,1,,5,,,,3,,,,2,,,,,1,783,514121.06,,,39,,,,,,,,,,,,,,,,,,2,,,,1,,,,0,8,,,60,8719,7136,585,45,8,2,2,,,,0,38.1,1,,,3,6,,,,2,,2,,,,,,,,,,,,,,2,.c,2,,,,,2,,3,,,4,2,2,,,6,,3,1,1,42,0,,,,,,,3,1,2,2,2,2,2,,,1,,1,,,5,5827.5,5827.5,2,3,3,0,2,1,1,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,1,,,,,,,,,,,,4,4,,4,3,1,3,,,,,,,,,,,,,3,1,,1,,,,9,9,3,,1,1,,,,501,9,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,32.3,1,1,,,,,,11,8008,,1,3,4,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,2,2,2,2,,,,,,0,3,3,3,,,,,5,3,,2,,,,4,,,,1,4,,1,,,2,2,,2,0,,0,1,1,3,,2,6,,,,,,,,,2,2,2,2,1,2,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,2,,,,2,5,2,,,2,4,,,5,.4631276841899348,.4631276841899348,.4788364280268127,,,,1,1,2010,,9
1,2241,2,3,,,,,,,,,,,1,1,1,1,1,1,1,,1,,,46,1,26,,,3,,,,,,,,,0,2,,,,3,1,,3,3,,2,1,3,2,2,2,,,2,2,,,,1,,2,1,9,8,1964,4,5,1,4,5,4,5,2,,3,1,,2,2,2,2,,2,2,2,2,66247.5,2,3,2,3,2,66247.5,2,2,3,1,2,3,2,,1,1,502,2,,,3,,,,,,3,,1,2,2,4,1,,16,2,,,3,3,3,2,,,4,39,.u,.u,39,1,,,1,,,,2,3,2,3,,2,,1,1,3,2,1,,40,1,,,,,,,2,4,2,1,2,,3,2,2,,2,,,,,,,,,,,,,2,5,2,,,4,,,,,,,,,,,,,,,,,1,,,,,2,,2,,,2,2,3,1,3,3,,1,4,3,1,2,1,4,1,,,,2,0,4,1,1,45,,3,1,1,8,2,4,,0,2,2,1,7,,1,1,,,3,12,21,,60,,50,2,2,2,2,2,1,2,,,2,2,2,,,1,2,2,2,2,.5232876712328767,,2,2190,1229,2,,,,2,,2,3,,2,,3,2,2,,2,,,2,2,1,2,1,1,2,,,30,3,1,16,842,710,2230,49,2,95,66,,,,2,3,,73.2,,1,2,,,,,0,3,1,0,,2,2,,,,,,,,3,,3,1,,1,,1,,1,,1,1,,1,,2,,1,1,1,,1,1,2,2,,3,,2,,,,2,1,3,,,,9983,,1,19,119021,2,2,45,,,,,,,,,,,,,,2,,,,2,,,,1,2,2,4,1,12,,2,391,8800,7313,647,45,8,4,1,,,1,2,36.4,2,2,,2,3,4,0,,,2,2,2,4,4,4,4,4,4,4,2,,3,,3,2,,1,,2,,1,2,3,5,3,,5,2,1,,,1,,,,,51,0,,2,2,2,2,,3,,,,,2,2,,,1,2,,2,2,,42735,42735,2,,,0,2,3,1,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,1,,,,,,,,,,,,2,2,,3,2,2,3,,,,,,,,,,,,,6,1,2,1,1,2,2,21,12,2,,1,1,2,2,2,501,9,2,2,2,2,,,,,,1,,,,,,,2,5,,,,,2,2,,2,63.5,2,,,,,,2,2,8008,4,,,,,,1,,,,,,,,,,,,,,1,1,1,,2,1,2,,,,,2,,2,,,1,,2,2,,,,,2,2,2,2,2,0,,,3,,,,2,,,2,3,,2,2,,2,3,2,1,4,,2,,2,,,,3,0,1,0,3,3,,1,,52,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,4,3,,,,,,,,,,,,,,,2,2,1,2,,2,1,1,2,1,3,5,,.4631276841899348,.4631276841899348,.4788364280268127,,,2,2,1,2010,10,3
1,2241,,2,,,,,,,,,,,2,1,1,2,1,1,2,,1,,3,80,,24,,,3,,,,,,,,,0,,,,,1,,,,,,,,,1,1,,2,1,1,,3,2,3,1,2,1,,4,4,1930,5,5,,4,4,5,5,,,,1,2,,,,,1,,,,,17063.75,,,,,,,,1,,1,2,,,,1,1,406,2,12,12,2,2,,2,1,4,8,2,1,,,,,2,15,,,,,,,,1,6,,1,.u,.u,1,1,2,2,,2,2,1,,,,,3,,,1,1,,,1,2,,3,3,,4,2,1,3,2,2,1,1,,,,1,1,5,2,,,,,,,,,,,,2,2,6,,3,3,0,,3,2,2,2,3,2,1,2,3,3,2,3,3,3,3,1,,,,2,,,2,2,3,,2,,1,,,3,,,,,2,1,4,1,2,,,,,1,1,,,,,,,,,4,,,,,,8,,,,2,4,3,11,13,622110,831,3,58,,,,3,,11,,4,4,,,,,,,,1,,,1,,,710,2230,1,,,,,,,,2,,3,,,,4,,2,2,2,2,1,2,2,2,2,1,1,88,,1,12,761,5520,9132,,,407,23,2,2,2,4,2,2,22.5,2,1,2,,,,2,,1,1,,,,,,,,,,,3,,2,,2,1,,1,,1,,2,,2,1,,3,,1,,2,2,1,,2,2,1,3,,2,,,,2,,,,3,,2,,0,,95,291199.03,,,79,,,,,,,,,,,,,,,,,,2,,,4,1,,2,,0,9,,,751,8430,7231,505,40,0,,,9,0,,1,32.3,2,,1,1,3,,,,4,2,,,,,,,,,,,,,,,,3,,,,,,,,4,,2,,,1,1,3,1,2,1,2,1,66,0,5,,,,,1,1,1,2,1,2,2,2,,,1,2,1,,,5,11007.5,,1,1,2,2,2,4,1,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,1,2,2,2,,,,,,,,,,,,,6,1,,1,,2,,,,1,,1,1,,,,501,9,3,,,1,,,,2,,,,,,,,,,,,,,,,,,,73.2,2,1,1,3,1,,2,2,8008,,6,5,4,5,,1,2,,,,,,,,,,,,,2,1,1,,1,2,2,,,,,2,,,,,1,,,,2,2,2,2,,,,1,,0,1,2,,,3,,,3,2,,,2,,,1,,,,,,,,3,,2,,1,1,0,,0,1,1,2,,2,0,,,,,,,,,2,2,2,2,2,1,,,,,,,,,,,,,,,,5,4,1,1,0,1,1,1,1,1,0,1,8,5,,,,,3,1,,,2,5,,,1,.4631276841899348,.4631276841899348,.4788364280268127,,,1,,1,2010,,1
