vpsu,vstrat,mar1,mar2,mar3,mar4,mar5,mar6,mar7,mar8,mar11,mar12,mar13,abany,abdefctw,abdefect,abhlth,abnomore,abpoor,abpoorw,abrape,absingle,acqntsex,adoptkid,adults,advfront,affrmact,afterlif,age,agecmeus,aged,agekdbrn,ancestrs,anheat,anscitst,astrosci,attend,attend12,attendma,attendpa,attractd,autonojb,away1,away11,away12,away2,away3,away4,away5,away6,away7,away8,away9,babies,ballot,balneg,balpos,betrlang,bible,bigbang,bizgross,bizshare,blkwhite,bmitzvah,born,bornsp,boyorgrl,cantrust,cappun,childs,chldidel,class,clerggov,clergvte,closeblk,closewht,clrggen1,clrggen2,clrggen3,clrgmar1,clrgmar2,clrgmar3,clrgmode,clrgsex1,clrgsex2,clrgsex3,clsclsex,cohort,colath,colcom,coldeg1,colhomo,colmil,colmslm,colrac,colsci,colscinm,comfort,comprend,conarmy,conbiz,conbus,conchurh,conclerg,concong,concourt,condom,condrift,coneduc,confed,confinan,conjudge,conlabor,conlegis,conmedic,conpress,conschls,consci,contv,coop,counsel1,counsel2,counsel3,courts,crack30,cshutyp06,curempyr,dateintv,daynight,degree,denkid,denom,denom16,densp,discaff,discaffm,discaffw,divlaw,divorce,done911a,done911b,done911c,done911d,done911e,done911f,done911g,done911h,done911i,done911j,done911k,done911l,done911m,done911n,doneelse,dwell5,dwelling,dwelown,earnrs,earthsun,educ,eff911a,eff911b,eff911c,eff911d,eff911e,eff911f,eff911g,eff911h,eff911i,eff911j,eff911k,eff911l,eff911m,eff911n,egomeans,electron,emphlth,emphlth1,emphlth2,emphplan,eqwlth,erosion,eth1,eth2,eth3,ethnic,ethnum,evcrack,evdwell,evharjb,evidu,evkid,evlosejb,evnegjob,evolved,evpaidsx,evstray,evwork,expdesgn,exptext,fair,famdif16,famgen,family16,fatalism,fear,fechld,feelrel,fefam,fehire,fejobaff,fepol,fepres,fepresch,finalter,findnwjb,finrela,fishexp1,fishexp2,form,formwt,frndking,frndsex,fucitzn,fund,fund16,gender1,gender10,gender11,gender12,gender13,gender2,gender3,gender4,gender5,gender6,gender7,gender8,gender9,genes,geomobil,getahead,gills,god,godchnge,godmeans,goldfish,goodlife,goveqinc,granborn,grass,gunlaw,h2olife,hapmar,happy,hapunhap,harjob5,harmgood,harsexcl,harsexjb,health,heaven,hefinfo,hell,helpblk,helpful,helpnot,helpoth,helppoor,helpsick,hhrace,hhtype,hhtype1,hispanic,hivtest,hivtest1,hivtest2,hlthcovr,hlthtype,homosex,homosex1,hompop,hotcore,hrs1,hrs2,hsbio,hschem,hsmath,hsphys,hubbywrk,hunt,hushrel1,hushrel2,id,idu30,if04who,incgap,inclstjb,incom16,income,income06,indus80,inequal3,inequal5,intecon,inteduc,intenvir,intfarm,inthisp,intintl,intlblks,intlcowk,intlwhts,intmed,intmil,intrace1,intrace2,intrhome,intsci,intspace,inttech,isco681,isco88,issp,jew,jew16,jobfind,joblose,judgeluv,kd1jwoth,kd1relig,kd2jwoth,kd2relig,kd3jwoth,kd3relig,kd4jwoth,kd4relig,kd5jwoth,kd5relig,kd6relig,kd7relig,kd8relig,kidlived,kidnow1,kidnow2,kidresp,kidssol,knwclsex,lasers,lastyrwk,leavejb,letdie1,letdie1y,letin1,lftplane,libath,libcom,libhomo,libmil,libmslm,librac,life,litmstxt,liveblks,livewhts,localnum,losejb12,losejob5,lostjobs,maboygrl,madeg,madenkid,maeduc,maind80,maisc681,maisco88,majew,majorcol,majwoth,makefrnd,maocc80,mapa,mapres80,marasian,marblk,marelig,marelkid,marhisp,marhomo,marital,marunion,marwht,masei,mastersp,matesex,mawrkgrw,mawrkslf,meetf2f1,meetf2f2,meovrwrk,miracles,mobile16,moretrde,mykids,mywaygod,nanoben,nanoharm,nanoknw1,nanoknw2,nanotech,nanowill,nataid,nataidy,natarms,natarmsy,natchld,natcity,natcityy,natcrime,natcrimy,natdeg,natdrug,natdrugy,nateduc,nateducy,natenvir,natenviy,natfare,natfarey,natheal,nathealy,natmass,natpark,natrace,natracey,natroad,natsci,natsoc,natspac,natspacy,negjob5,newjobs,news,newsfrom,nextgen,nihilism,nirvana,numclerg,numemps,numemps5,nummen,numown,numwomen,obey,occ80,odds1,odds2,old1,old10,old11,old12,old13,old2,old3,old4,old5,old6,old7,old8,old9,ongorel1,ongorel2,ongorel3,openrel1,openrel2,openrel3,oth16,other,othersex,othjew,othjew16,othkids,othlang,othlang1,othlang2,othplan,oversamp,ownbiz,ownclerg,owngun,owninc,padeg,padenkid,paeduc,paidemps,paidsex,paind80,paisc681,paisco88,pajew,pajwoth,paocc80,papres80,parborn,parelig,parelkid,parsol,partfull,partners,partnrs5,partyid,pasei,pastpay,pawrkslf,paxhappy,paychnge,permoral,perscrfc,phase,phone,pikupsex,pillok,pilloky,pistol,polabuse,polattak,polescap,polhitok,polhitoy,polmurdr,polviews,popespks,popespky,popular,pornlaw,postlife,pray,prayer,prayfreq,premars1,premarsx,pres04,prestg80,preteen,punsin,racdif1,racdif2,racdif3,racdif4,race,racecen1,racecen2,racecen3,raclive,racopen,racpres,racwork,radioact,reborn,reg16,region,reincar,relactiv,relate1,relate10,relate11,relate12,relate13,relate2,relate3,relate4,relate5,relate6,relate7,relate8,relate9,relatsex,relcand,relexp,relexper,relext1,relext2,relgendr,relgrpeq,relhh1,relhh10,relhh11,relhh12,relhh13,relhh2,relhh3,relhh4,relhh5,relhh6,relhh7,relhh8,relhh9,relhhd1,relhhd10,relhhd11,relhhd12,relhhd13,relhhd2,relhhd3,relhhd4,relhhd5,relhhd6,relhhd7,relhhd8,relhhd9,relig,relig16,religcon,religint,religkid,religsp,reliten,rellife,relmarry,relneg,relobjct,relpersn,relsp1,relsp10,relsp11,relsp12,relsp2,relsp3,relsp4,relsp5,relsp6,relsp7,relsp8,relsp9,relsprt,reltruth,res16,res2006,respnum,richwork,rifle,rightpeo,rincom06,rincome,rotapple,rowngun,rplace,rspctrel,rvisitor,salth2o,sampcode,sample,satfin,satjob,savesoul,scibnfts,scifrom,sciintro,scimath,scimode,scistudy,scitext,seeksci,seesand,sei,sex,sexeduc,sexfreq,sexornt,sexsex,sexsex18,sexsex5,sexunion,shotgun,sibs,socbar,socfrend,socommun,socrel,solarrev,spaneng,spanint,spanking,spanself,spdeg,spden,speduc,spevwork,spfund,sphrs1,sphrs2,spind80,spisc681,spisco88,spjew,spjew16,spjoth16,spjrel16,spkath,spkcom,spkhomo,spklang,spkmil,spkmslm,spkrac,spocc80,spother,spothjew,sppart,sppres80,sprel,sprtprsn,spsei,spwrkslf,spwrksta,startbiz,stormtxt,suicide1,suicide2,suicide3,suicide4,synmem,tax,taxrich,taxshare,teens,teensex,theism,thnkself,toldexp1,toldexp2,toldexp3,toldrel1,toldrel2,toldrel3,toldsmsx,toldsxor,toldwork,toofast,trust,trustsci,tvhours,typevisa,unemp,union,unrelat,upbreath,uscitzn,uswary,version,viruses,visa,visart,visitors,vislib,visnhist,vissci,vistholy,viszoo,vote04,weekswrk,weighing,where1,where11,where12,where2,where3,where4,where5,where6,where7,where8,whybiz,whyjbct1,whyjbct2,whyleave,whylose1,whylose2,whylose3,whynojb1,whynojb2,widowed,wkcomptr,wksub,wksubs,wksup,wksups,wlthblks,wlthwhts,wocomptr,worda,wordb,wordc,wordd,worde,wordf,wordg,wordh,wordi,wordj,wordsum,work3yrs,workblks,workhard,workwhts,wrkgovt,wrkslf,wrkstat,wrkwayup,wtss,wtssall,wtssnr,xmarsex,xmarsex1,xmovie,year,yearbiz,zodiac,intid,intage,intethn,intsex,intyrs,whoelse1,whoelse2,whoelse3,whoelse4,whoelse5,whoelse6,lngthinv,feelevel,feeused,mode,relactiv1,consent,size,xnorcsiz,srcbelt,realinc,realrinc,coninc,conrinc,churhpow
1,2106,2,5,,,,,,,,,,,4,,,,,4,,,,,1,1,4,4,49,,1,20,4,1,1,3,2,8,8,4,,,,,,,,,,,,,,0,2,,1,1,1,1,,,4,,1,1,2,4,1,5,2,3,1,1,,,,,,,,,2,,,,,1959,,,,,,,,2,,1,2,1,3,2,3,2,3,4,2,1,3,2,3,2,2,2,2,2,4,2,2,1,,,,3,,1,,503,1,1,,,,,,3,,1,1,,,,,,,,,,,,,,,,,8,2,0,1,12,,,,,,,,,,,,,,,2,2,,,,,1,2,22,.u,.u,22,1,2,,,2,,,,2,2,1,1,2,3,1,,2,1,5,,2,2,2,,1,2,1,3,2,,2,4,2,1,1,7,,,2,2,1,,,,,1,,,,,,,,4,1,,2,5,4,1,1,2,,4,2,,4,,3,2,,5,2,2,,1,1,4,5,2,1,1,1,1,5,2,2,3,1,200706,4,,,,1,2,1,,,2,2,1,2,2,,,,1,,2,,13,3,7,7,762,,,1,1,1,1,1,2,5,,5,1,1,2,,1,1,2,1,5500,9140,1,,,,,1,,2,,,,,,,,,,,,,,,,3,2,2,2005,1,1,,4,1,,,,,,,,,2,4,,,,,,1,,12,591,3311,4211,,,,1,276,7,29,1,1,,2,1,,2,,1,33.1,1,,1,2,,,3,1,3,,,1,,,2,2,3,2,3,,1,,1,1,,1,,30,1,,1,,1,,2,,1,,2,2,1,,2,1,1,3,,,,1,1,1,5,4,,,,0,,100,4,453,2,1,48,,,,,15,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,,,,1,,12,,,712,5500,9140,,,453,22,8,,2,4,,0,0,0,28.4,,2,1,,1,2,1,6,,4,,,2,1,1,2,,2,2,2,,5,2,2,1,2,11,4,4,,22,0,4,1,2,2,2,3,16,,,1,,1,,1,1,0,2,4,1,1,,,,,3,,,,,,,,1,1,1,1,4,4,,4,1,,,,,41,,,,,,,,1,,,,,4,,,,,,,,2,2,1,1,2,2,1,1,2,2,1,3,,,,,,,,,,,,,2,2,1,1,1,,,1,,,1,,1,1,1,3,501,9,3,,1,1,2,2,1,1,1,5,2,5,28.4,1,1,0,3,,5,,,,0,7,7,7,1,3,1,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,2,2,1,2,2,2,,,,,1,1,4,2,,,,,,,,,,4,2,4,8,,1,4,0,3,,1,2,1,,0,0,4,0,0,3,0,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,1,1,0,1,0,0,0,0,0,0,3,1,3,3,2,2,2,8,1,.4377447513695529,.4377447513695529,.4276952188541757,,1,1,2008,,1,123,57,2,2,.27,2,1,2,2,2,2,172.2166666666667,,3,1,1,1,8008,1,1,4016.25,,6228.75,,1
1,2106,1,,,,,,,,,,,1,,1,1,2,2,,1,2,,,1,1,4,,48,24,,33,,,1,3,0,,,,,1,,,,,,,,,,,,0,1,,1,,4,1,,,1,,2,2,,,2,2,2,2,,,7,5,,,,,,,,,,,,1960,4,5,3,4,4,5,4,2,,,1,,,,,,,,2,1,,,,,,,,,,,,2,,,,2,,1,3,427,,4,,50,50,,3,2,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,2,2,1,20,5,5,5,5,1,1,1,1,3,3,1,1,1,,,2,2,,,,,4,39,.u,.u,39,1,2,,,2,,,,1,2,2,,2,1,,5,1,5,,2,2,,3,,3,2,1,3,1,1,3,,,1,1,,,,3,3,1,,,,,,,,,,,,,3,,1,2,2,,,,,,4,,1,4,3,2,,,,,,1,,1,,,,,,,,2,1,4,1,1,200305,1,,,4,,1,1,40,,1,2,1,2,,4,,,2,,,,,3,12,23,890,,,1,3,1,3,1,3,4,6,4,1,1,2,,1,3,3,1,1100,2411,2,,,2,3,,,1,,1,,,,,,,,,,,,,,,,2,,,1,,3,3,2,2,2,2,2,2,1,,1,2,4,4,,,2,1,,12,762,5319,5122,,1,,,436,,31,4,2,,,4,1,1,,4,27.5,,1,1,2,3,6,2,,3,1,,,,,,,3,,3,,1,,2,2,,1,,1,2,,1,,1,,2,,2,,1,2,2,,1,2,2,3,,,1,1,1,1,,,,,,0,,20,,23,2,1,48,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,,2,,,,,,,,,,,,,,8,,,,1,1,1,3,,3,,,1,1,,1,3,,4,,2,,,,,,,4,,,,,2,6,1,,,4,1,65,0,4,2,2,2,1,3,2,,,1,2,1,2,2,2,0,2,,1,1,,,,,,,,,,,,,1,,2,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,2,4,,1,,4,,,,,,,,,,,,,,,1,1,1,1,2,,21,12,1,,1,,1,3,501,9,2,2,2,1,1,2,1,4,2,4,1,,76.40000000000001,1,1,5,3,3,,3,,2,1,2,2,7,7,3,1,,4,,4,22,19,,3,35,,712,1940,2412,,,,,1,1,1,,1,2,1,27,,,,43,1,3,63.2,2,1,2,,1,1,1,1,,2,,,0,3,,,,,,,,,,,,4,,,1,,,,,3,1,1,1,2,2,0,0,2,0,0,,0,1,52,3,,,,,,,,,,,,,,,,,,,,2,1,1,3,2,,5,4,1,1,1,1,1,1,1,0,0,1,0,7,1,4,,4,2,2,1,4,.4377447513695529,.4377447513695529,.4276952188541757,3,,,2008,,12,123,57,2,2,.27,2,2,2,2,2,1,92.95,,3,2,,1,8008,1,1,64260,44178.75,99660,68516.25,
1,2106,1,1,,,,,,,,,,,4,,,,,4,,,,,2,3,2,4,47,,2,22,4,,4,3,0,8,8,1,,,,,,,,,,,,,,0,2,,,,3,1,,,1,,1,1,,3,2,1,2,2,1,1,,,,,,,,,1,,,,,1961,,,,,,,,2,,5,1,3,4,2,4,3,4,4,2,1,2,3,2,2,3,2,2,3,3,2,3,2,,,,2,,1,10,717,1,1,21000,,21,18000,,2,,1,1,,,,,,,,,,,,,,,,,8,2,1,2,13,,,,,,,,,,,,,,,1,,1,,,3,3,,1,.u,.u,1,1,2,,,2,,,,1,1,,,2,3,1,2,1,5,1,,2,4,3,,3,2,1,3,3,2,3,,,1,1,1,,,3,2,1,,,,,2,,,,,,,,1,4,,2,1,2,5,,5,,0,1,,,1,2,2,,3,2,2,,4,2,4,1,2,1,2,1,1,5,3,1,1,2,,,,,,4,2,,35,,1,2,5,2,5,,,,3,,1,,,3,12,18,282,,,3,3,3,3,1,3,4,1,4,3,3,1,,2,3,3,3,8739,7213,1,,,2,2,,,,,,,,,,,,,,,,,,,2,2,2,,,1,,2,3,,,,,,,,,3,3,7,1,,,,3,21000,16,630,3319,4121,,,,5,337,1,47,3,3,,1,3,,1,,3,38,,1,1,2,5,6,2,4,1,2,,3,,,,,4,,3,,2,,1,1,,1,,1,1,,1,,1,,1,,1,,2,1,1,,1,2,1,3,,,,2,1,3,5,,,,,0,,100,3,653,2,1,47,,,,,29,,,,,,,,,,,,,,,,,3,,,2,,,1,1,2,,,,,,,,,,,,,,,,0,,7,2,1,1,9,0,,3,,5,1,1,2,2,3,,2,,,2,1,1,1,,2,4,,,5,2,2,6,1,1,4,1,,50,0,4,2,2,1,2,2,2,,,1,,1,,2,2,2,2,4,1,1,,,,,2,,,,,,,,1,1,2,2,3,2,,1,1,,,,,2,,,,,,,,1,,,,,2,,,,,,,,4,1,2,2,1,1,4,2,1,1,2,3,2,,,,1,,,,,,,,4,3,6,1,1,,,5,18,12,2,,1,1,1,3,501,9,2,2,2,,1,2,4,1,2,6,8,,37.8,1,1,6,3,3,5,,,,1,5,6,6,5,,1,,1,,1,18,14,2,1,,,,,,,,,,,,,,,,,,,,,,1,2,,,6,2,3,2,2,2,2,,,,,0,1,5,1,,,,,,,,,,3,2,2,2,,1,1,0,3,,1,2,,,0,0,0,0,0,1,0,2,30,3,,,,,,,,,,,,,,,6,8,,,,2,2,1,3,2,,7,3,,1,1,0,1,1,1,0,0,0,0,5,1,2,4,3,2,2,1,3,2.135340250583185,2.135340250583185,2.086318140752077,,,2,2008,,1,57,58,1,2,13.95,2,2,2,2,2,1,95.08333333333333,50,1,1,1,1,8008,1,1,24097.5,24097.5,37372.5,37372.5,2
1,2106,5,3,5,,,,,,,,,1,4,1,1,1,2,1,1,2,1,,3,,,1,32,,2,26,4,,,,3,8,3,10,,,,,,,,,,,,,,0,3,,,,2,,,,2,,1,1,,1,2,1,,2,5,2,9,3,,,,,,,2,,,,,1976,5,4,,4,4,5,5,,,1,1,3,3,2,3,2,2,2,2,,2,3,3,1,1,2,3,3,4,2,3,1,,,,2,,1,,519,,1,18000,18,18,,3,,,,,0,0,0,2,3,0,0,0,0,3,0,0,0,0,,,9,,2,,10,5,5,5,5,4,1,1,1,2,5,2,1,1,,4,,,,,,1,,32,1,15,1,2,2,,,2,,,,,2,1,,,,1,2,2,5,4,1,,3,,,,,,,2,,2,,,1,1,4,1,,1,1,2,,,,,1,2,,,,,,,,4,2,,3,4,3,,4,1,,1,1,,,3,2,,1,2,2,2,1,2,2,3,1,1,3,3,1,5,23,3,1,2,,,,,2,2,3,,,,,,,,3,4,,,4,,,1,20,5,12,17,400,1,4,,,,,1,,,,,,,2,,,,,,5510,9141,1,,,,,2,,,,,,,,,,,,,,,,,,4,2,,2007,3,,,,,1,1,1,1,1,1,1,,,,,,,,,1,18000,12,910,3939,4100,,,,3,379,4,34,,,,1,,1,3,,,37.7,2,1,1,2,,,,2,1,,,1,,,,,,,1,,1,,1,1,,1,,1,2,,1,,1,,2,,1,,1,2,1,,2,2,1,2,,,,,,,5,4,,,,0,,7,1,448,,,62,,,,,32,26,,,,,,,,,,,,,,,2,,,,2,,,,1,2,,2,,,,,,2,,,,,,,,0,,,3,1,2,5,0,,,,1,,1,2,1,3,2,,,2,2,1,1,1,,2,4,,,5,2,1,4,,8,4,,2,36,0,2,,,,,2,2,,,1,2,,,,1,2,2,3,6,1,,,,,3,3,,,,,,,1,2,1,1,3,3,,1,1,,,,,41,41,,,,,,,1,,,,,4,4,,,,,,,1,1,3,3,1,,1,3,1,1,2,2,,,,,,,,,,,,,1,2,6,1,2,1,2,3,11,10,2,,3,1,1,,501,9,3,1,1,,,,,,,,,,35.1,1,,5,3,3,5,3,,2,2,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,2,1,,,,,,,2,,,,2,,,,,,,1,5,2,0,,1,2,,,,,,,,,,,1,1,,,1,1,1,,,,3,,,,0,,,,1,,1,20,,,,,,,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,1,,4,,1,2,4,,1.313234254108659,1.313234254108659,1.283085656562527,1,2,1,2008,,2,123,57,2,2,.27,2,2,2,2,2,1,126.25,,3,1,9,1,8008,1,1,20081.25,8701.875,31143.75,13495.625,4
2,2106,4,,,,,,,,,,,1,,1,1,1,1,,1,2,1,,1,2,4,,37,26,,32,,3,4,2,2,,,,,2,,,,,,,,,,,,2,1,1,,,2,2,,,2,,2,3,,,1,2,2,2,,,9,1,,,,,,,2,,,,,1971,5,4,,4,4,5,5,2,,,2,,,,,,,,1,1,,,,,,,,,,,,1,,,,2,,1,3,630,1,1,,18,,,2,2,,3,,2,0,0,0,0,0,0,0,0,3,0,0,0,0,,,8,1,1,2,12,4,4,4,5,1,2,2,3,3,5,3,3,4,,,2,1,,,1,,2,28,.u,.u,28,1,2,,,2,,,,2,2,2,,2,3,,2,2,8,,2,2,,3,,4,2,1,2,1,2,2,4,2,1,1,,,2,1,2,2,,,,,1,2,,,,,,,3,,1,2,6,,,4,,,4,,1,,,2,,,,2,2,2,,1,,,,,,,,2,2,2,1,1,200805,1,,,1,,3,1,43,,2,2,8,2,,4,,,5,,3,,,2,12,16,840,,,1,1,1,2,1,2,6,1,3,1,2,2,,1,2,2,2,5999,5132,2,,,2,3,,3,4,3,4,,,,,,,,,,,,,,,2,1,,,1,,2,1,1,1,1,1,1,1,2,,2,3,7,4,,,2,1,,12,790,7910,7433,,,,,666,,36,2,2,,,2,1,4,,2,25.5,,1,1,1,6,6,2,,3,1,,,,,,,4,,2,,3,,1,2,,1,,3,1,,2,,1,,1,,1,,2,1,1,,2,3,1,3,,,2,3,5,1,,,,,,8,,0,,447,2,2,37,,,,,5,1,,,,,,,,,,,,,,,2,,,,2,,,1,1,2,,2,,1,,12,,2,420,9710,9333,,,883,27,8,,,,1,3,5,2,34.3,1,2,,1,1,,1,3,2,2,,2,,,,,,,2,,,,,2,3,2,,,3,,42,0,2,2,2,2,1,2,2,,,1,1,1,2,2,1,0,2,,1,1,,,,,3,3,,,,,,,1,,1,1,,,,,1,,,,,41,41,,,,,,,1,,,,,4,4,,,,,,,1,2,,,,,3,2,,1,,2,,,,,,,,,,,,,,,3,1,1,1,2,,16,12,2,,1,,1,3,501,9,2,2,1,3,5,2,2,1,2,5,5,1,29.3,2,1,3,3,1,1,1,,2,2,7,3,2,2,,1,,2,,,,,,,,,,,,,,,,2,2,1,,1,2,2,,,,,,,2,,,,2,3,1,2,2,1,,1,,,0,1,,,,,,,,,,,,2,,,4,,,,0,3,2,2,1,2,2,0,0,0,0,0,,0,3,52,4,,,,,,,,,,,,,,1,,,,,,2,1,1,3,2,,5,2,3,1,0,0,1,1,1,0,1,1,0,6,2,6,,3,2,2,1,1,.4377447513695529,.4377447513695529,.4276952188541757,1,,,2008,,10,123,57,2,2,.27,1,2,2,2,2,2,119.2,50,1,1,,1,8008,1,1,17403.75,17403.75,26991.25,26991.25,
2,2106,1,1,,,,,,,,,,,,,,,,,,,,,2,,1,2,72,,1,25,4,,4,3,4,7,7,.c,,,,,,,,,,,,,,0,2,,,,2,,,,1,,1,,,3,1,2,8,3,1,2,,,,,,,,,,,,,,1936,,,2,,,,,1,,2,1,3,2,,,1,4,,,,3,2,3,3,1,3,2,,5,,,2,,,,,,1,,617,,3,,,10,,,3,,3,2,,,,,,,,,,,,,,,,,6,1,2,1,16,,,,,,,,,,,,,,,2,,,,,,4,,1,.u,.u,1,1,,,,,,,,2,,,1,2,2,1,,1,1,2,,1,3,3,,1,,1,2,3,,3,,,1,1,,,,2,1,1,,,,,2,,,,,,,,,2,,,5,4,,,3,,0,1,,,2,1,1,,3,,,,2,1,2,3,2,3,4,3,1,2,3,1,1,,,,,,,,2,1,,,1,2,4,2,3,,,,6,,,,,2,.a,.a,800,,,1,3,2,3,1,3,4,,4,,3,1,,2,,3,3,290,2149,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,3,3,,,,,,1,,12,,,,,18,,3,,7,,3,1,,1,3,,1,,3,,1,,2,,,,5,,3,,,2,,,,,4,,,,3,,1,1,,,,,1,,1,,2,,2,,1,,,1,1,,1,2,2,1,,,,1,1,,5,,,,,,,,2,59,1,1,72,,,,,72,,,,,,,,,,,,,,,,,,,,2,,,,1,2,,,,0,,,,,41,7119,8111,,,616,35,0,,1,1,,,,2,36.4,,2,2,,1,2,1,2,,4,,,2,1,1,1,,2,4,3,,5,2,1,4,2,9,4,4,1,71,0,,1,2,1,1,2,2,,,1,,1,,1,2,6,2,,4,1,,,,,2,,,,,,,,,1,2,2,4,,,1,1,,,,,2,,,,,,,,1,,,,,2,,,,,,,,2,1,3,1,1,2,2,2,2,2,1,2,2,,,,1,,,,,,,,1,2,3,1,1,,,3,,,2,,1,2,1,,501,9,2,,2,2,1,1,1,1,,,1,,87.90000000000001,1,,,,,,,,,3,7,4,2,4,3,1,,2,,3,,16,1,2,,,842,1330,2331,,,,,,,,,,,,156,,,,64,2,3,78.5,2,5,2,,,2,2,2,,,,,0,3,,1,,,,,,,,,,4,2,3,2,,2,4,0,,,2,2,1,,0,0,,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,4,,1,1,,1,,1,,,1,,5,,4,3,4,2,2,5,3,.8754895027391058,.8754895027391058,.8553904377083514,,2,1,2008,,,57,58,1,2,13.95,2,2,2,2,2,1,88.2,50,1,1,4,2,8008,1,1,,,,,3
2,2106,1,1,5,5,,,,,,,,2,3,2,2,2,2,1,2,2,2,,4,,,1,21,,3,,4,,,,2,4,6,7,,,,,,,,,,,,,,1,3,,,,3,,,,1,,2,,,4,2,0,,4,3,2,7,7,,,,,,,2,,,,,1987,5,5,,4,5,5,5,,,1,1,2,3,2,3,1,3,3,1,,1,1,3,2,2,2,1,2,2,2,3,2,,,,2,,1,,611,,1,,,,,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,5,,4,,12,,,3,1,1,,,,,5,,,,,2,,,,,,5,,39,.u,.u,39,1,2,,,2,,,,,2,3,,,,1,,2,1,4,2,,3,,,,,,,1,,3,,,1,1,,2,2,2,2,2,,,,,1,2,2,2,,,,,,1,1,,6,4,4,,2,2,4,2,1,,,2,1,,3,,,1,1,3,4,3,1,3,2,3,1,2,202,11,1,1,200799,1,,,2,,5,,40,,,,,,5,4,,,7,,1,.c,,3,.a,.a,580,.c,.c,,,,,1,,,,,,,1,,,,,,3311,4211,1,,,,,4,,2,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,1,2,1,2,1,,,,7,,,,,3,,16,832,5999,5132,,,,5,447,6,42,,,,2,,.c,5,,,29.3,5,2,1,2,,,,1,1,,,1,,,,,,,1,,2,,1,2,,1,,,1,,2,,3,,3,,3,,1,2,2,,1,3,1,2,,,,,,,4,,,,,2,,0,3,276,,,45,,,,,47,25,20,2,,,,,,,,,,,,,2,,,,2,,,,1,2,,2,,3,,16,,2,60,9594,9313,,,869,36,8,,2,3,2,1,2,3,28.6,,2,5,,3,2,1,3,2,,,2,2,2,2,2,,1,3,,,5,2,1,3,,4,2,,,29,0,2,,,,,2,2,,,1,3,,3,,2,2,2,1,3,1,,,,,2,3,3,3,,,,,1,2,1,1,2,2,,2,1,,,,,2,4,4,41,,,,,1,,,,,2,4,4,4,,,,,2,2,3,.c,2,,1,2,1,2,2,2,2,,,,1,43,43,41,,,,,,2,6,1,4,1,2,4,,,4,,3,2,1,,501,9,1,3,2,,,,,,,,,,33.1,2,,1,3,,1,,,2,2,,,,,,1,,,,,,,,,,,,,,,,,,1,2,1,,2,2,2,,,,,,,2,,,,2,,,,,,,2,1,1,0,,2,4,,,,,,,,,,,2,2,,,1,4,0,,2,,3,,,,0,,,,1,,3,52,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,,,,,,,,,,,,,,,,,1,,2,2,2,,1.750979005478212,1.750979005478212,1.710780875416703,3,1,2,2008,,8,57,58,1,2,13.95,2,2,2,2,2,1,30,50,1,1,2,2,8008,1,1,,,,,3
